1949	24.000	23.800	23.800	23.900	23.800	23.900	23.700	23.800	23.900	23.700	23.800	23.600	23.800
1948	23.700	23.500	23.400	23.800	23.900	24.100	24.400	24.500	24.500	24.400	24.200	24.100	24.100
1947	21.500	21.500	21.900	21.900	21.900	22.000	22.200	22.500	23.000	23.000	23.100	23.400	22.300
1946	18.200	18.100	18.300	18.400	18.500	18.700	19.800	20.200	20.400	20.800	21.300	21.500	19.500
1945	17.800	17.800	17.800	17.800	17.900	18.100	18.100	18.100	18.100	18.100	18.100	18.200	18.000
1944	17.400	17.400	17.400	17.500	17.500	17.600	17.700	17.700	17.700	17.700	17.700	17.800	17.600
1943	16.900	16.900	17.200	17.400	17.500	17.500	17.400	17.300	17.400	17.400	17.400	17.400	17.300
1942	15.700	15.800	16.000	16.100	16.300	16.300	16.400	16.500	16.500	16.700	16.800	16.900	16.300
1941	14.100	14.100	14.200	14.300	14.400	14.700	14.700	14.900	15.100	15.300	15.400	15.500	14.700
1940	13.900	14.000	14.000	14.000	14.000	14.100	14.000	14.000	14.000	14.000	14.000	14.100	14.000
1939	14.000	13.900	13.900	13.800	13.800	13.800	13.800	13.800	14.100	14.000	14.000	14.000	13.900
1938	14.200	14.100	14.100	14.200	14.100	14.100	14.100	14.100	14.100	14.000	14.000	14.000	14.100
1937	14.100	14.100	14.200	14.300	14.400	14.400	14.500	14.500	14.600	14.600	14.500	14.400	14.400
1936	13.800	13.800	13.700	13.700	13.700	13.800	13.900	14.000	14.000	14.000	14.000	14.000	13.900
1935	13.600	13.700	13.700	13.800	13.800	13.700	13.700	13.700	13.700	13.700	13.800	13.800	13.700
1934	13.200	13.300	13.300	13.300	13.300	13.400	13.400	13.400	13.600	13.500	13.500	13.400	13.400
1933	12.900	12.700	12.600	12.600	12.600	12.700	13.100	13.200	13.200	13.200	13.200	13.200	13.000
1932	14.300	14.100	14.000	13.900	13.700	13.600	13.600	13.500	13.400	13.300	13.200	13.100	13.700
1931	15.900	15.700	15.600	15.500	15.300	15.100	15.100	15.100	15.000	14.900	14.700	14.600	15.200
1930	17.100	17.000	16.900	17.000	16.900	16.800	16.600	16.500	16.600	16.500	16.400	16.100	16.700
1929	17.100	17.100	17.000	16.900	17.000	17.100	17.300	17.300	17.300	17.300	17.300	17.200	17.100
1928	17.300	17.100	17.100	17.100	17.200	17.100	17.100	17.100	17.300	17.200	17.200	17.100	17.100
1927	17.500	17.400	17.300	17.300	17.400	17.600	17.300	17.200	17.300	17.400	17.300	17.300	17.400
1926	17.900	17.900	17.800	17.900	17.800	17.700	17.500	17.400	17.500	17.600	17.700	17.700	17.700
1925	17.300	17.200	17.300	17.200	17.300	17.500	17.700	17.700	17.700	17.700	18.000	17.900	17.500
1924	17.300	17.200	17.100	17.000	17.000	17.000	17.100	17.000	17.100	17.200	17.200	17.300	17.100
1923	16.800	16.800	16.800	16.900	16.900	17.000	17.200	17.100	17.200	17.300	17.300	17.300	17.100
1922	16.900	16.900	16.700	16.700	16.700	16.700	16.800	16.600	16.600	16.700	16.800	16.900	16.800
1921	19.000	18.400	18.300	18.100	17.700	17.600	17.700	17.700	17.500	17.500	17.400	17.300	17.900
1920	19.300	19.500	19.700	20.300	20.600	20.900	20.800	20.300	20.000	19.900	19.800	19.400	20.000
1919	16.500	16.200	16.400	16.700	16.900	16.900	17.400	17.700	17.800	18.100	18.500	18.900	17.300
1918	14.000	14.100	14.000	14.200	14.500	14.700	15.100	15.400	15.700	16.000	16.300	16.500	15.100
1917	11.700	12.000	12.000	12.600	12.800	13.000	12.800	13.000	13.300	13.500	13.500	13.700	12.800
1916	10.400	10.400	10.500	10.600	10.700	10.800	10.800	10.900	11.100	11.300	11.500	11.600	10.900
1915	10.100	10.000	9.900	10.000	10.100	10.100	10.100	10.100	10.100	10.200	10.300	10.300	10.100
1914	10.000	9.900	9.900	9.800	9.900	9.900	10.000	10.200	10.200	10.100	10.200	10.100	10.000
1913	9.800	9.800	9.800	9.800	9.700	9.800	9.900	9.900	10.000	10.000	10.100	10.000	9.900
